曲名,平均密度,音符数-1
龍脈の王,6.115,932
文明開化(玄人譜面),6.089,733
トルコ行進曲(モーツァルト)(裏譜面),6.086,831
Ψです I LIKE YOU,6.076,522
文明開化(普通譜面),6.032,725
Wavy Baby,6.027,681
音虫を響かせろ！,6.014,581
負け犬返上 ～マッスル努力のテーマ～(達人譜面),6.013,529
ストリーミングハート,6.006,725
DIVE TO WORLD,6.000,529
∫-integral-,5.986,655
キラメキラリ,5.983,690
ゼビウス体操(裏譜面),5.982,682
フニクリ・フニクラ(裏譜面),5.977,644
地獄の大王,5.975,764
Inscrutable Battle,5.968,274
人生リセットボタン,5.956,998
セツナトリップ(裏譜面),5.926,689
Tank!(裏譜面),5.903,539
おしりの山はエベレスト(裏譜面),5.895,783
おしりの山はエベレスト(裏譜面),5.891,787
Time to dine,5.827,742
Touch off,5.761,490
Outride a Crisis,5.733,889
BE THE ACE(裏譜面),5.705,561
闇の魂,5.709,591
闇の魂,5.699,590
地獄の太鼓事典,5.696,546
ミンナノカキゴオリ,5.690,764
仙酌絶唱のファンタジア,5.679,699
妖怪道中記音頭(裏譜面),5.644,760
Be Somewhere,5.632,476
Baladium's drive(裏譜面),5.628,726
future beat,5.604,696
Tank!,5.575,509
負け犬返上 ～マッスル努力のテーマ～(玄人譜面),5.570,490
チルドレンレコード,5.567,489
青空のラプソディ(裏譜面),5.539,485
ダイヤモンドハッピー(裏譜面),5.538,477
おもちでマンボ(裏譜面)(達人譜面),5.525,687
arcadia,5.496,554
魔法式逃走奇譚☆ミ,5.495,677
おもちでマンボ(裏譜面)(玄人譜面),5.484,681
千本桜 ver.小林幸子(裏譜面),5.476,849
河童の皿はこんなにも,5.461,669
夜咄ディセイブ,5.442,702
蒼鷺之火,5.374,682
ワタリドリ,5.326,490
S,5.302,595
わすれなぐさ,5.229,473
Argent Memories,5.227,635
大改造!!劇的ビフォーアフターメドレー,5.208,482
風たちの声,5.207,755
リトルホワイトウィッチ,5.205,730
Dual Moon,5.148,751
ヒプノシスマイク -Division Battle Anthem-,5.060,1607
とんかつDJアゲ太郎,5.022,724
チェインクロニクル 通常バトルメドレー(ショートVer.)(裏譜面),5.008,347
文明開化(裏譜面)(玄人譜面),4.969,553
Taiko Session(裏譜面),4.870,407
クレーンシティ,4.800,593
モンスターハンター4G メドレー,4.750,757
軽いざわめき,4.730,550
IMITATION BLACK(裏譜面),4.716,716
Beat Again,4.705,474
ANTI-HERO(裏譜面),4.690,599
負け犬返上 ～マッスル努力のテーマ～(普通譜面),4.649,409
Rising,4.648,685
MAGICAL SOUND SHOWER(達人譜面),4.635,683
ヒカリノカナタヘ -Long Ver.-,4.598,960
意識のワーゼ,4.551,635
SORA-Ⅲ ヘリオポーズ,4.434,536
MAGICAL SOUND SHOWER(普通譜面),4.404,649
ワルルーさまの歌を聴けぇ！,4.400,515
サイクル・オブ・リバース,4.237,764
２４１ディープラーニング,4.052,606
２４１ディープラーニング(裏譜面),3.858,577
２４１ディープラーニング(裏譜面),3.524,511
